,Power,Hybrid type,Range extender,Transmission,Doors,Model,Condition,Battery warranty (km),Mileage,Valid MOT until,Battery capacity,CO2 emissions,El. motor power,First registration,Energy efficiency,Battery type,Country of origin,DC charging time,Emission class,Fuel,Drive type,AC charging time,Secondary drive,Body,Make,Interior color,Engine power,CARNAME,Currency,Weight,Engine capacity,VIN,ID,Tags,Type of finish,Price,Consumption,Full service history,Interior material,Body color,Previous owners,Seats,Warranty until,Electric range
895,85 kW,,,Automatic,4/5 doors,Arona,Used,,28 900 km,,,115 g/km,,10/2019,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Seat,Black interior,,seat arona,EUR,1165,999 ccm,not published by the seller,61185553,Keyless entry; Heated front seats; Keyless ignition; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor,Metallic,22149,5 l/100km (combined),,Cloth interior,Orange,,5,,
896,96 kW,,,Manual,4/5 doors,Transit Custom,Used,,126 000 km,,,144 g/km,,1/2020,,,Italy,,Euro 6d-TEMP,Diesel,4x2,,,Cargo VAN,Ford,Black interior,,ford transit-custom,EUR,2006,1 996 ccm,not published by the seller,61185550,Voice control; Bluetooth; Automatic A/C; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer,,19849,6.7 l/100km (combined); 6.7 l/100km (city); 6.7 l/100km ,,Cloth interior,White,,3,,
897,63 kW,,,Manual,4/5 doors,Clio,,,86 879 km,05/2024,,95 g/km,,5/2021,,,,,Euro 6,Diesel,4x2,,,Hatchback,Renault,Black interior,,renault clio,EUR,,1 461 ccm,not published by the seller,61185561,LED headlights; Heated front seats; Apple CarPlay; Android auto; Voice control; Navigation system; Sport front seats; Traffic sign recognition; Bluetooth; Light sensor,,14199,3.6 l/100km (combined); 4.3 l/100km (city); 3.2 l/100km ,,Cloth interior,White,1,5,,
898,81 kW,,,Automatic,4/5 doors,Golf,Used,,29 000 km,,,98 g/km,,11/2020,,,,,Euro 6d,Hybrid,4x2,,,Hatchback,Volkswagen,Black interior,,volkswagen golf,EUR,1302,999 ccm,not published by the seller,61185555,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Voice control; Navigation system; Paddle shifters; Bluetooth; Induction charging for smartphones; Automatic A/C,Metallic,23549,4.3 l/100km (combined); 4.3 l/100km (city); 4.3 l/100km ,,Cloth interior,Grey,,5,,
899,51 kW,,,Manual,4/5 doors,Panda,,,13 000 km,,,89 g/km,,2/2023,,,,,Euro 6,Petrol,4x2,,,Hatchback,Fiat,Other interior color,,fiat panda,EUR,,999 ccm,not published by the seller,61185544,,Metallic,14849,3.9 l/100km (combined); 4.7 l/100km (city); 3.5 l/100km ,,Other interior material,Grey,,4,,
900,131 kW,,,Automatic,2/3 doors,Cooper S,Used,,19 070 km,,,121 g/km,,4/2021,,,,,No emission class,Petrol,4x2,,,Hatchback,MINI,Black interior,,mini cooper-s,EUR,,1 998 ccm,not published by the seller,61185517,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Keyless ignition; Voice control; Paddle shifters; Sport front seats; Bluetooth; Automatic 2-zones air conditioning,Metallic,27849,5.8 l/100km (combined),,Full leather interior,Green,,5,,
901,90 kW,,,Manual,4/5 doors,Elantra,Used,,310 km,,,0 g/km,,1/2023,,,,,,Petrol,4x2,,,Sedans / saloons,Hyundai,,,hyundai elantra,EUR,,1 600 ccm,KMHLN41EAPU516938,61185515,LED headlights; Heated front seats; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Lane assist; Side mirrors with electic adjustment; Daytime running lights; Start-stop system,,25099,,,,Green,,5,,
902,53 kW,,,Manual,2/3 doors,C1,,,35 000 km,,,85 g/km,,9/2019,,,,,Euro 6c,Petrol,4x2,,,Hatchback,Citroen,Other interior color,,citroen c1,EUR,,998 ccm,not published by the seller,61185521,Hill-start assist; Daytime running lights; On-board computer; Start-stop system,Metallic,10399,3.7 l/100km (combined); 4.3 l/100km (city); 3.4 l/100km ,,Cloth interior,Black,2,4,,
903,85 kW,,,Automatic,4/5 doors,Q2,,,78 926 km,,,118 g/km,,10/2020,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Audi,Grey interior,,audi q2,EUR,,1 600 ccm,not published by the seller,61185529,,Metallic,24999,4.5 l/100km (combined),,Other interior material,Grey,1,2,,
904,55 kW,,,Manual,4/5 doors,Fabia,,,75 800 km,,,111 g/km,,11/2018,,,,,Euro 6d-TEMP,Petrol,4x2,,,Hatchback,Skoda,Black interior,,skoda fabia,EUR,,999 ccm,not published by the seller,61185525,Heated front seats; Apple CarPlay; Android auto; Navigation system; Bluetooth; Front collision warning system; Side mirrors with electic adjustment; Daytime running lights; On-board computer; Start-stop system,Metallic,11499,4.9 l/100km (combined),,Cloth interior,Black,2,5,,
905,107 kW,,,Manual,4/5 doors,Trafic,,,113 123 km,01/2024,,174 g/km,,12/2019,,,,,Euro 6,Diesel,4x2,,,Cargo VAN,Renault,Black interior,,renault trafic,EUR,,1 598 ccm,not published by the seller,61185526,Voice control; Navigation system; Bluetooth; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Start-stop system; USB; Front electric windows,,14849,,,Cloth interior,White,2,3,,
906,100 kW,,No,Automatic,4/5 doors,208,Used,,26 130 km,,50 kWh,0 g/km,,5/2021,,,,,Euro 6,Electric,4x2,,,Hatchback,Peugeot,,,peugeot 208,EUR,,,not published by the seller,61185516,Head-up display; Keyless ignition; Traffic sign recognition; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Multifunctional steering wheel,,21099,,,,Yellow,1,5,12/2024,340 km
907,49 kW,,No,Automatic,4/5 doors,i-MiEV,,,27 436 km,01/2024,,0 g/km,,1/2011,,,,,No emission class,Electric,4x2,,,Hatchback,Mitsubishi,Black interior,,mitsubishi i-miev,EUR,,659 ccm,not published by the seller,61185527,Bluetooth; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; CD player; Front electric windows; Alloy wheels,Metallic,9749,0 kWh/100km (combined),,Cloth interior,White,1,4,,
908,110 kW,,,Manual,4/5 doors,Kuga,Used,,91 227 km,,,143 g/km,,4/2016,,,Belgium,,Euro 6,Petrol,4x2,,,SUV / offroad,Ford,Black interior,,ford kuga,EUR,1579,1 498 ccm,not published by the seller,61185523,Voice control; Navigation system; Bluetooth; Automatic 2-zones air conditioning; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; On-board computer; Start-stop system,Metallic,14899,6.2 l/100km (combined); 6.2 l/100km (city); 6.2 l/100km ,,Cloth interior,Red,,5,,
909,243 kW,,,Automatic,4/5 doors,G 400,,,23 000 km,04/2026,,0 g/km,,4/2023,,,,,Euro 6d-TEMP,Diesel,4x4,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz g-400,EUR,,2 925 ccm,not published by the seller,61185524,Ventilated front seats; Heated rear seats; Air suspension; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats,Metallic,182199,,,Full leather interior,Grey,1,5,,
910,220 kW,,No,Automatic,4/5 doors,7 Crossback,Used,160000 km,18 552 km,,13 kWh,120 g/km,81 kW,12/2021,,Lithium-ion (Li-ion),,,Euro 6,Hybrid,4x4,,,SUV / offroad,DS Automobiles,Black interior,,ds-automobiles 7-crossback,EUR,,1 598 ccm,not published by the seller,61185530,LED headlights; Keyless entry; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Navigation system; Paddle shifters,Metallic,42499,5.3 l/100km (combined),,Alcantara interior,Black,,,,
911,110 kW,,,Automatic,4/5 doors,Touran,Used,,13 085 km,,,148 g/km,,6/2023,,,,,Euro 6,Petrol,4x2,,,MPV,Volkswagen,,,volkswagen touran,EUR,,1 498 ccm,not published by the seller,61185519,Digital cockpit; Rear parking camera; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel; Electrically foldable side mirrors; Start-stop system; Fatigue warning system,,41399,5.6 l/100km (combined),,,Blue,1,7,12/2025,
912,70 kW,,,Automatic,4/5 doors,Polo,,,16 783 km,,,108 g/km,,10/2019,,,,,Euro 6d-TEMP,Petrol,4x2,,,Sedans / saloons,Volkswagen,Black interior,,volkswagen polo,EUR,,999 ccm,not published by the seller,61185531,Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer,Metallic,17449,4.8 l/100km (combined); 5.8 l/100km (city); 4.2 l/100km ,,Cloth interior,Red,1,5,,
913,66 kW,,,Manual,4/5 doors,Fabia,,,139 958 km,,,107 g/km,,11/2015,,,,,Euro 6,Petrol,4x2,,,Station Wagon,Skoda,Black interior,,skoda fabia,EUR,,1 197 ccm,not published by the seller,61185522,Heated front seats; Bi-xenon headlights; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Parking sensors; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,,10899,4.7 l/100km (combined); 5.9 l/100km (city); 3.9 l/100km ,,Cloth interior,White,1,5,,
914,81 kW,,,Manual,4/5 doors,Kamiq,,,32 839 km,07/2024,,108 g/km,,7/2021,,,,,Euro 6,Petrol,4x2,,,SUV / offroad,Skoda,Black interior,,skoda kamiq,EUR,,999 ccm,not published by the seller,61185533,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Voice control; Sport front seats; Bluetooth; Automatic A/C; Rain sensor,Metallic,21499,4.7 l/100km (combined); 6.3 l/100km (city); 4.2 l/100km ,,Cloth interior,Silver,1,5,,
915,110 kW,,,Automatic,4/5 doors,Tarraco,Used,,14 831 km,,,137 g/km,,5/2023,,,,,Euro 6d,Petrol,4x2,,,SUV / offroad,Seat,Black interior,,seat tarraco,EUR,,1 498 ccm,not published by the seller,61185532,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto,Metallic,37349,6 l/100km (combined),,Alcantara interior,Grey,,7,,
916,210 kW,,,Automatic,4/5 doors,X5,,,26 264 km,,,162 g/km,,12/2022,,,,,Euro 6d,Diesel,4x4,,,SUV / offroad,BMW,Black interior,,bmw x5,EUR,,2 993 ccm,not published by the seller,61185514,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Smart key; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Active steering,Metallic,71099,6.2 l/100km (combined); 7.2 l/100km (city); 5.6 l/100km ,,Other interior material,Black,1,5,,
917,85 kW,,,Manual,4/5 doors,Kadjar,Used,,54 945 km,,,112 g/km,,8/2019,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Renault,,,renault kadjar,EUR,,1 461 ccm,not published by the seller,61185495,Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,,18699,4.2 l/100km (combined),,,White,,5,12/2024,
918,81 kW,,,Automatic,4/5 doors,Grand Scenic,Used,,93 838 km,,,104 g/km,,7/2018,,,,,Euro 6,Diesel,4x2,,,MPV,Renault,,,renault grand-scenic,EUR,,1 461 ccm,not published by the seller,61185502,Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Glare-free high beam headlights; Traffic sign recognition; Automatic lights; Rain sensor; Lane assist; Hill-start assist,,17999,3.9 l/100km (combined),,,Grey,,7,12/2024,
919,100 kW,,,Manual,4/5 doors,XCeed,Used,,92 850 km,,,104 g/km,,7/2020,,,,,Euro 6,Diesel,4x2,,,SUV / offroad,Kia,Black interior,,kia xceed,EUR,,1 598 ccm,not published by the seller,61185509,LED headlights; Smart key; Electric adjustable front seats; Keyless ignition; Voice control; Navigation system; Heated steering wheel; Bluetooth; Automatic 2-zones air conditioning; Automatic lights,,20049,4.4 l/100km (combined); 4.6 l/100km (city); 4 l/100km ,,Cloth interior,White,,5,12/2024,
920,70 kW,,,Manual,4/5 doors,Polo,Used,,12 745 km,,,106 g/km,,2/2023,,,,,Euro 6,Petrol,4x2,,,Hatchback,Volkswagen,Black interior,,volkswagen polo,EUR,,999 ccm,not published by the seller,61185497,Digital cockpit; Navigation system; Traffic sign recognition; Bluetooth; Rear parking camera; Automatic A/C; Automatic lights; Rain sensor; Hill-start assist; Parking sensors,Metallic,22599,5.2 l/100km (combined),,,Blue,1,5,12/2025,
921,100 kW,,No,Automatic,4/5 doors,2008,Used,,11 187 km,,50 kWh,0 g/km,,4/2022,,,,,Euro 6,Electric,4x2,,,SUV / offroad,Peugeot,,,peugeot 2008,EUR,,,not published by the seller,61185496,Keyless ignition; Traffic sign recognition; Automatic A/C; Automatic lights; Rain sensor; Lane assist; Hill-start assist; Front collision warning system; Autom. dimming side mirros; Multifunctional steering wheel,Pearl,26099,,,,Black,1,5,12/2024,340 km
922,100 kW,,,Automatic,4/5 doors,B 200,,,132 957 km,,,180 g/km,,7/2010,,,,,Euro 5,Petrol,4x2,,,MPV,Mercedes-Benz,Black interior,,mercedes-benz b-200,EUR,,2 035 ccm,not published by the seller,61185512,Heated front seats; Navigation system; Sport front seats; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel,Metallic,7599,7.5 l/100km (combined); 9.7 l/100km (city); 6.2 l/100km ,,Part leather interior,Grey,2,5,,
923,165 kW,Plug-in hybrid,No,Automatic,4/5 doors,308,Used,,100 km,,13 kWh,25 g/km,,11/2022,,,,,Euro 6,Hybrid,4x2,,,Hatchback,Peugeot,,,peugeot 308,EUR,,1 598 ccm,not published by the seller,61185499,Adaptive cruise control; Keyless ignition; Automatic multi-zone A/C; Traffic sign recognition; Rear parking camera; Automatic lights; Rain sensor; Lane assist; Blind spot assist; Hill-start assist,,33899,,,,Grey,,5,12/2024,65 km
924,210 kW,,,Automatic,4/5 doors,Q8,,,67 608 km,,,179 g/km,,5/2019,,,,,Euro 6,Hybrid,4x4,,,SUV / offroad,Audi,Other interior color,,audi q8,EUR,,2 967 ccm,not published by the seller,61185481,Digital cockpit; Sport front seats; Bluetooth; Multifunctional steering wheel; Daytime running lights; Front electric windows; Alloy wheels; Fixed trailer coupling,,66349,6.8 l/100km (combined); 7.3 l/100km (city); 6.5 l/100km ,,Other interior material,White,,5,,
925,140 kW,,,Automatic,4/5 doors,Kodiaq,,,82 000 km,,,153 g/km,,2/2020,,,,,Euro 6d,Petrol,4x4,,,SUV / offroad,Skoda,Black interior,,skoda kodiaq,EUR,,1 984 ccm,not published by the seller,61185485,Heated rear seats; LED headlights; Electric adjustable front seats; Adaptive cruise control; Heated front seats; WLAN/Wifi hotspot; Keyless ignition; Voice control; El. tailgate; Paddle shifters,Metallic,30999,6.7 l/100km (combined); 8.5 l/100km (city); 5.7 l/100km ,,Alcantara interior,White,1,5,,
926,60 kW,,No,Automatic,2/3 doors,ForTwo,Used,100000 km,3 204 km,,18 kWh,0 g/km,60 kW,3/2022,,Lithium-ion (Li-ion),,,Euro 6,Electric,4x2,1 h,,Hatchback,Smart,Black interior,,smart fortwo,EUR,,,not published by the seller,61185492,,,22049,,,,Black,1,2,12/2024,125 km
927,140 kW,,,Automatic,4/5 doors,120,,,40 032 km,,,121 g/km,,12/2020,,,,,Euro 6d,Diesel,4x2,,,Hatchback,BMW,Black interior,,bmw 120,EUR,,1 995 ccm,not published by the seller,61185482,LED headlights; Digital cockpit; Heated front seats; Head-up display; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system; Sport front seats; Bluetooth,Metallic,26649,4.2 l/100km (combined); 5.3 l/100km (city); 4.6 l/100km ,,Cloth interior,Black,1,5,,
928,74 kW,,,Manual,4/5 doors,Micra,Used,,55 654 km,,,103 g/km,,7/2020,,,,,No emission class,Petrol,4x2,,,Hatchback,Nissan,Other interior color,,nissan micra,EUR,,,not published by the seller,61185477,Navigation system; Automatic lights; Hill-start assist; On-board computer; Start-stop system; Ambient lighting; AUX; Front electric windows; Rear electric windows,,12399,4.3 l/100km (combined),,Other interior material,White,,5,,
929,160 kW,,,Automatic,4/5 doors,223 Active Tourer,Used,,24 989 km,,,154 g/km,,5/2023,,,,,Euro 6d,Petrol,4x4,,,MPV,BMW,Black interior,,bmw 223-active-tourer,EUR,,1 998 ccm,not published by the seller,61185480,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Harman/Kardon audio; Heated front seats; Head-up display; Apple CarPlay,Metallic,39499,6.8 l/100km (combined),,Part leather interior,Grey,1,5,,
930,140 kW,,,Automatic,4/5 doors,V60,,,52 472 km,,,131 g/km,,3/2020,,,,,No emission class,Diesel,4x4,,,Station Wagon,Volvo,Black interior,,volvo v60,EUR,,1 969 ccm,not published by the seller,61185490,Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Apple CarPlay; Integrated music streaming; Navigation system,Metallic,35799,5 l/100km (combined); 5.9 l/100km (city); 4.2 l/100km ,,Other interior material,Blue,1,5,,
931,215 kW,Plug-in hybrid,No,Automatic,4/5 doors,X3,Used,160000 km,16 122 km,,12 kWh,47 g/km,80 kW,12/2022,,Lithium-ion (Li-ion),,156 min,Euro 6,Hybrid,4x4,6 h,,SUV / offroad,BMW,Black interior,135 kW,bmw x3,EUR,,1 998 ccm,not published by the seller,61185478,LED headlights; Electric adjustable front seats; Heated front seats; Head-up display; WLAN/Wifi hotspot; Navigation system; Heated steering wheel; Sport front seats; Automatic A/C; High beam assist,,56499,,,Other interior material,Grey,,,,
932,520 kW,,,Automatic,4/5 doors,DBX,,,11 300 km,,,269 g/km,,7/2022,,,,,Euro 6d,Petrol,4x4,,,SUV / offroad,Aston Martin,Black interior,,aston-martin dbx,EUR,,3 982 ccm,not published by the seller,61185493,Ventilated front seats; Heated rear seats; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Panoramic roof; Gesture control; Navigation system,Metallic,239349,16.9 l/100km (combined); 19.7 l/100km (city); 14.3 l/100km ,,Full leather interior,Black,,,,
933,163 kW,,No,Automatic,4/5 doors,RAV 4,,,16 187 km,,,105 g/km,,6/2022,,,,,Euro 6d-TEMP,Hybrid,4x4,,,SUV / offroad,Toyota,Black interior,,toyota rav-4,EUR,,2 498 ccm,not published by the seller,61185479,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Keyless ignition,Metallic,47949,4.6 l/100km (combined); 4.7 l/100km (city); 4.7 l/100km ,,Part leather interior,White,1,5,,
934,270 kW,,,Automatic,4/5 doors,GLC 43 AMG,,,83 710 km,,,220 g/km,,11/2018,,,,,Euro 6d-TEMP,Petrol,4x4,,,SUV / offroad,Mercedes-Benz,Black interior,,mercedes-benz glc-43-amg,EUR,,2 996 ccm,not published by the seller,61185491,Laser headlights; Heated rear seats; Air suspension; Parking assist system self-steering; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Burmester audio; Heated front seats; Integrated music streaming,Metallic,47849,9.6 l/100km (combined); 12.3 l/100km (city); 7.9 l/100km ,,Part leather interior,Grey,,5,,
935,110 kW,,,Automatic,4/5 doors,A3,,,28 122 km,08/2025,,115 g/km,,8/2020,,,,,Euro 6,Petrol,4x2,,,Sedans / saloons,Audi,Black interior,,audi a3,EUR,,1 498 ccm,not published by the seller,61185476,Heated front seats; Panoramic roof; Voice control; Navigation system; Sport front seats; Bluetooth; Xenon headlights; Sport-suspension system; Rain sensor; Light sensor,,27749,5.6 l/100km (combined),,Cloth interior,White,1,5,,
